phenocode	phenostring	category	pval	beta	maf	maf_case	maf_control	n_case	n_control
T1D	Type1 diabetes, definitions combined	Diabetes endpoints	2.84243e-7	0.176651	0.11462	0.135289	0.114335	3907	283207
K11_REIMB_202	KELA_REIMBURSEMENT_202	Gastrointestinal endpoints	4.46879e-7	0.0827932	0.114848	0.122742	0.114387	18915	323584
C3_BASAL_CELL_CARCINOMA_EXALLC	Basal cell carcinoma	Neoplasms, from cancer register (ICD-O-3)	4.98115e-7	-0.0971723	0.115105	0.10804	0.11555	16328	259583
T1D_STRICT1	Type 1 diabetes, strict definition, subgroup 1	Diabetes endpoints	6.23591e-7	0.19323	0.114593	0.137488	0.114343	3049	279760
E4_DM1KETO	Type 1 diabetes with ketoacidosis	Endocrine, nutritional and metabolic diseases (E4_)	9.07883e-7	0.236543	0.114511	0.141371	0.114332	1897	283224
T1D_EARLY	Type1 diabetes, definitions combined, early onset	Diabetes endpoints	0.00000278202	0.195666	0.114848	0.138088	0.114668	2635	339864
C3_CANCER_EXALLC	Malignant neoplasm	Neoplasms, from cancer register (ICD-O-3)	0.00000649711	-0.0458981	0.114806	0.112086	0.11555	71036	259583
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer)	Neoplasms, from cancer register (ICD-O-3)	0.00000655119	-0.0907325	0.115172	0.108576	0.11555	14863	259583
KELA_DIAB_INSUL_EXMORE	Diabetes, insuline treatment (Kela reimbursement)	Diabetes endpoints	0.0000107088	0.0502634	0.114925	0.118502	0.114326	47438	283206
E4_GRAVES_STRICT	Graves disease, strict definition	Endocrine, nutritional and metabolic diseases (E4_)	0.000048827	0.169759	0.114848	0.134468	0.1147	2575	339924
HYPOTHY_REIMB	Hypothyroidism, drug reimbursement	Endocrine, nutritional and metabolic diseases (E4_)	0.0000707652	0.102376	0.115398	0.124117	0.114233	10943	81899
H7_RETINOPATHYDIAB_BKG	Diabetic background retinopathy	Diseases of the eye and adnexa (H7_)	0.0000786249	0.145878	0.114724	0.128312	0.114575	3446	314042
E4_DMNAS	Unspecified diabetes	Endocrine, nutritional and metabolic diseases (E4_)	0.00010838	0.1066	0.114544	0.123677	0.114332	6573	283224
C3_SKIN_EXALLC	Malignant neoplasm of skin	Neoplasms, from cancer register (ICD-O-3)	0.000116185	-0.0714015	0.115219	0.110323	0.11555	17568	259583
H7_RETINOPATHYDIAB	Diabetic retinopathy	Diseases of the eye and adnexa (H7_)	0.000120315	0.109419	0.114767	0.124851	0.114575	5988	314042
E4_DM1COMA	Type 1 diabetes with coma	Endocrine, nutritional and metabolic diseases (E4_)	0.000135994	0.188021	0.114471	0.135818	0.114332	1852	283224
H7_GLAUCOMA	Glaucoma	Diseases of the eye and adnexa (H7_)	0.000136101	0.0693675	0.114848	0.120166	0.114587	16065	326434
RX_CROHN_2NDLINE	Second line medication for Crohn's disease	Drug purchase endpoints	0.000218968	0.0633533	0.114848	0.121211	0.114511	17255	325244
J10_NASALPOLYP	Nasal polyp	Diseases of the respiratory system (J10_)	0.000220029	-0.11497	0.114736	0.10348	0.114978	5554	258553
THYROTOXICOSIS	Thyrotoxicosis	Comorbidities of Gastrointestinal endpoints	0.000274195	0.0941804	0.114789	0.125087	0.114567	7209	333755
J10_ASTHMACOPDKELA	Asthma/COPD (KELA code 203)	Diseases of the respiratory system (J10_)	0.000291259	-0.045133	0.114938	0.110506	0.115523	37425	283589
J10_LOWCHRON	Chronic lower respiratory diseases	Diseases of the respiratory system (J10_)	0.000309443	-0.0369553	0.114848	0.1116	0.115523	58910	283589
DM_SEVERAL_COMPLICATIONS	Diabetes, several complications	Diabetes endpoints	0.000351795	0.0729467	0.114619	0.119846	0.114334	13634	249480
E4_CONGEIOD	Congenital iodine-deficiency syndrome/hypothyroidism	Endocrine, nutritional and metabolic diseases (E4_)	0.000409893	0.258537	0.113636	0.141523	0.113559	808	292316
M13_SYSTCONNECT	Systemic connective tissue disorders	Diseases of the musculoskeletal system and connective tissue (M13_)	0.00040993	0.0771146	0.114848	0.122855	0.114598	10384	332115
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	Endocrine, nutritional and metabolic diseases (E4_)	0.00051114	0.184288	0.112804	0.133056	0.112675	1621	255931
H7_RETINOPATHYDIAB_NAS	Other diabetic retinopathy	Diseases of the eye and adnexa (H7_)	0.000610155	0.177162	0.114676	0.133405	0.114575	1690	314042
K11_UC_STRICT_PSC	Ulcerative colitis (strict) with PSC	Gastrointestinal endpoints	0.000677033	0.460152	0.114821	0.177197	0.114786	189	331374
DM_RETINOPATHY_EXMORE	Diabetic retinopathy	Diabetes endpoints	0.000753078	0.0803615	0.114564	0.121118	0.114357	8942	283545
D3_IMMUNEMECHANISM	Certain disorders involving the immune mechanism	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.000757757	0.100206	0.114848	0.125284	0.114682	5378	337121
E4_THYROIDITNAS	Thyroiditis, unspecified	Endocrine, nutritional and metabolic diseases (E4_)	0.000869961	0.34935	0.113609	0.154027	0.113559	361	292316
K11_PSC_COLITIS_STRICT	Colitis, primary sclerosing, strict definition	Diseases of the digestive system (K11_)	0.000941759	0.393033	0.114838	0.165993	0.114799	262	341008
J10_ASTHMA_EXMORE	Asthma	Diseases of the respiratory system (J10_)	0.00108683	-0.0420474	0.114324	0.110608	0.115064	37253	187112
J10_BRONCHNAS	Unspecified chronic bronchitis	Diseases of the respiratory system (J10_)	0.00111591	0.211876	0.115607	0.138513	0.115523	1035	283589
H7_IRIDOACUTE	Acute and subacute iridocyclitis	Diseases of the eye and adnexa (H7_)	0.0011828	0.096708	0.114799	0.124081	0.114645	5405	325475
H7_GLAUCOMA_POAG	Primary open-angle glaucoma, strict	Diseases of the eye and adnexa (H7_)	0.00127903	0.0893137	0.114742	0.122454	0.114587	6585	326434
G6_NERPLEX	Nerve, nerve root and plexus disorders	Diseases of the nervous system (G6_)	0.00132416	0.0376611	0.114848	0.117552	0.114478	41306	301193
M13_SJOGREN	Sicca syndrome [Sjögren]	Diseases of the musculoskeletal system and connective tissue (M13_)	0.00137177	0.145307	0.114699	0.129609	0.114598	2247	332115
M13_CONNECTNAS	Other specified/unspecified systemic involvement of connective tissue	Diseases of the musculoskeletal system and connective tissue (M13_)	0.00137762	0.17442	0.114685	0.133786	0.114598	1504	332115
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints	0.0014692	-0.0805667	0.114775	0.106651	0.115132	8525	193857
E4_LIPOPROTNAS	Disorder of lipoprotein metabolism, unspecified	Endocrine, nutritional and metabolic diseases (E4_)	0.00157536	0.114968	0.115001	0.12719	0.114853	3605	296380
THYROIDITIS	Thyroiditis	Comorbidities of Gastrointestinal endpoints	0.00157805	0.169431	0.114649	0.1321	0.114567	1579	333755
I9_SAHANEUR	Aneurysms, operations, SAH	Diseases of the circulatory system (I9_)	0.00163931	0.11207	0.114808	0.12567	0.114678	3758	312768
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs	Neoplasms, from cancer register (ICD-O-3)	0.00197702	-0.0734393	0.115332	0.109563	0.11555	9822	259583
L12_ACTINKERA	Actinic keratosis	Diseases of the skin and subcutaneous tissue (L12_)	0.00198066	-0.0753841	0.114878	0.108107	0.115068	9319	331962
H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis	Diseases of the eye and adnexa (H7_)	0.00226193	-0.0524476	0.114848	0.110464	0.115096	18321	324178
DM_HYPOGLYC	Diabetic hypoglycemia	Diabetes endpoints	0.00236042	0.0858959	0.114546	0.122709	0.114334	6500	249480
AD_EO_EXMORE	Alzheimer’s disease (Early onset)	Neurological endpoints	0.00292759	0.199524	0.115104	0.133485	0.114981	1070	159621
C3_MALE_GENITAL_EXALLC	malignant neoplasm of male genital organs	Neoplasms, from cancer register (ICD-O-3)	0.00295087	-0.0688197	0.115872	0.111328	0.116366	11971	110189
M13_MCTD	Mixed connective tissue disease	Diseases of the musculoskeletal system and connective tissue (M13_)	0.00315457	0.15509	0.114848	0.131853	0.114767	1641	340858
H7_IRIDOCYC_ANTER	Anterior Iridocyclitis	Diseases of the eye and adnexa (H7_)	0.00332024	0.0853477	0.114848	0.12289	0.114712	5722	336777
C3_PROSTATE_EXALLC	Malignant neoplasm of prostate	Neoplasms, from cancer register (ICD-O-3)	0.00336434	-0.0693015	0.115891	0.111373	0.116366	11590	110189
K11_IBD_STRICT_PSC	IBD (strict) with PSC	Gastrointestinal endpoints	0.003596	0.370035	0.114819	0.162295	0.114786	231	331374
G6_MS	MS-disease / Multiple Sclerosis	Diseases of the nervous system (G6_)	0.00380014	0.141541	0.114784	0.130491	0.114695	1912	339601
L12_LICHENPLANUS_INCLAVO	Lichen planus, including avohilmo	Diseases of the skin and subcutaneous tissue (L12_)	0.0038562	0.0961943	0.114848	0.123761	0.114734	4343	338156
E4_GOITRENAS	Other and/or unspecified nontoxic goitre	Endocrine, nutritional and metabolic diseases (E4_)	0.00454276	0.134723	0.113656	0.12708	0.113559	2101	292316
G6_OTHDEMYEL	Other demyelinating diseases of the central nervous system	Diseases of the nervous system (G6_)	0.00472574	0.196322	0.114785	0.13801	0.114724	899	340219
J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis)	Diseases of the respiratory system (J10_)	0.00474176	-0.0395511	0.114479	0.110868	0.115064	30309	187112
H7_GLAUCSUSP	Glaucoma suspect	Diseases of the eye and adnexa (H7_)	0.00482136	0.0667066	0.11472	0.119525	0.114587	9076	326434
DM_NEUROPATHY	Diabetic neuropathy	Diabetes endpoints	0.00505487	0.126057	0.114438	0.125059	0.114334	2444	249480
N14_GLOMERULAR	Glomerular diseases	Diseases of the genitourinary system (N14_)	0.00519087	0.0859705	0.114848	0.12436	0.114706	5053	337446
Q17_OTHER_CONGEN_MALFO_PERIP_VASCULAR_SYSTEM	Other congenital malformations of peripheral vascular system	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.00576408	0.321056	0.114848	0.155574	0.114813	286	338720
RHEUMA_SEROPOS	Seropositive rheumatoid arthritis	Rheuma endpoints	0.00578376	0.0684116	0.114277	0.120751	0.114072	8279	261098
OTHER_SYSTCON_FG	Other systemic involvement of connective tissue (FG)	Rheuma endpoints	0.00630043	0.0699055	0.114297	0.121959	0.114072	7671	261098
KRA_PSY_SCHIZODEL_EXMORE	Schizophrenia or delusion	Psychiatric endpoints from Katri Räikkönen	0.00636722	-0.0848586	0.114756	0.106734	0.115144	12317	254976
K11_ORAL_LICHEN_PLANUS_WIDE	Oral lichen ruber planus, wide definition	Diseases of the digestive system (K11_)	0.00661942	0.0848879	0.114848	0.12258	0.114735	4962	337537
KRA_PSY_HYPERKIN_EXMORE	Hyperkinetic disorders	Psychiatric endpoints from Katri Räikkönen	0.00690892	-0.146886	0.115072	0.105921	0.115144	2011	254976
K11_CHOLANGI_STRICT	Cholangitis (primary sclerosing, PSC), with reimbursement 202	Gastrointestinal endpoints	0.00697766	0.264706	0.114429	0.145936	0.114387	428	323584
HLP_C3_AML	Acute myeloid leukaemia	Neoplasms, from cancer register (ICD-O-3)	0.00700422	-0.450836	0.115517	0.0723914	0.11555	199	259582
C3_AML_EXALLC	Acute myeloid leukaemia	Neoplasms, from cancer register (ICD-O-3)	0.00700632	-0.450829	0.115517	0.0723914	0.11555	199	259582
F5_SOCPHOB	Social phobias	Mental and behavioural disorders (F5_)	0.00701052	0.126864	0.11499	0.12695	0.114906	2151	307558
D3_ANAEMIA	Anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.00718472	0.053004	0.115119	0.118155	0.114236	23830	81923
K11_UMBHER	Umbilical hernia	Diseases of the digestive system (K11_)	0.00727612	-0.0714356	0.114946	0.107776	0.115129	7476	293793
H7_IRIDOCYCLITIS	Iridocyclitis	Diseases of the eye and adnexa (H7_)	0.00743447	0.0742381	0.114777	0.121572	0.114645	6349	325475
H7_CHOROIDRETINA	Disorders of choroid and retina	Diseases of the eye and adnexa (H7_)	0.00762412	0.0372831	0.114848	0.117867	0.114575	28457	314042
NEURODEGOTH	Other degenerative diseases of the nervous system	Comorbidities of Gastrointestinal endpoints	0.00810774	0.0600723	0.114957	0.119341	0.114711	11079	197425
K11_COELIAC	Coeliac disease	Diseases of the digestive system (K11_)	0.00833547	0.0998969	0.11488	0.124363	0.114784	3320	328204
M13_VARUS	Varus deformity, not elsewhere classified	Diseases of the musculoskeletal system and connective tissue (M13_)	0.00835353	0.315731	0.114695	0.154304	0.114646	272	221323
F5_PHOBANX	Phobic anxiety disorders	Mental and behavioural disorders (F5_)	0.0100735	0.0928572	0.115008	0.123323	0.114906	3791	307558
E4_GLUCOPANCREAS	Other disorders of glucose regulation and pancreatic internal secretion	Endocrine, nutritional and metabolic diseases (E4_)	0.0102315	0.120466	0.114848	0.127111	0.114767	2264	340235
RHEUMA_SEROPOS_WIDE	Seropositive rheumatoid arthritis, wide	Rheuma endpoints	0.0102492	0.0629231	0.114848	0.120749	0.114702	8275	334220
I9_ANEURYSM	Cerebral aneurysm, nonruptured	Diseases of the circulatory system (I9_)	0.0102499	0.135731	0.114753	0.127858	0.114678	1788	312768
K11_EMBIMPACT_TEETH_INCLAVO	Embedded and impacted teeth	Diseases of the digestive system (K11_)	0.0103915	-0.0707362	0.114848	0.10877	0.114973	6902	335597
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma	Neoplasms, from cancer register (ICD-O-3)	0.0106409	-0.113831	0.115463	0.106493	0.11555	2522	259583
T2D_WIDE	Type 2 diabetes, wide definition	Diabetes endpoints	0.0106765	0.0349636	0.114954	0.116906	0.114728	33043	284971
H7_SCLERACORNEA	Disorders of sclera, cornea, iris and ciliary body	Diseases of the eye and adnexa (H7_)	0.0107211	0.0447099	0.114848	0.118743	0.114645	17024	325475
DM_RETINA_PROLIF	Proliferative diabetic retinopathy	Diabetes endpoints	0.0107746	0.0630582	0.114801	0.120351	0.11466	8383	329756
K11_ABSCANAL	Abscess of anal and rectal regions	Diseases of the digestive system (K11_)	0.0108148	0.115219	0.114865	0.12721	0.114763	2288	276683
SLE_FG	SLE (Finngen)	Rheuma endpoints	0.0108288	0.178901	0.112835	0.132286	0.112766	917	257081
F5_KELAMENT	Kela-code for severe mental illness	Mental and behavioural disorders (F5_)	0.0108373	-0.066413	0.114837	0.107607	0.115161	14605	326415
CD2_BENIGN_UTERUS_NOS	Other benign neoplasm of uterus: Other parts/unspecified	Neoplasms from hospital discharges (CD2_)	0.0108723	-0.175596	0.114492	0.0993489	0.114577	1063	189816
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16)	Asthma and related endpoints	0.0110533	-0.084175	0.114896	0.108947	0.115064	5282	187112
E4_DMNASNOCOMP	Unspecified diabetes without complications	Endocrine, nutritional and metabolic diseases (E4_)	0.0111322	0.116192	0.11442	0.12472	0.114332	2428	283224
RHEUMA_SEROPOS_OTH	Other/unspecified seropositive rheumatoid arthritis	Rheuma endpoints	0.0112145	0.063506	0.114844	0.120649	0.114702	8186	334220
O15_LABOUR_LONG	Long labour	Pregnancy, childbirth and the puerperium (O15_)	0.0112766	-0.0699565	0.114504	0.108063	0.114805	6928	148153
CD2_BENIGN_SMALL_INTESTINE_OTH	Benign neoplasm: Other and unspecified parts of small intestine	Neoplasms from hospital discharges (CD2_)	0.011637	0.261504	0.114848	0.146232	0.114813	382	342117
KRA_PSY_CHILDSOC_EXMORE	Social disorders starting during childhood or adolecense	Psychiatric endpoints from Katri Räikkönen	0.0117774	0.419435	0.115182	0.163366	0.115144	202	254976
N14_FEMALE_GENITAL_HSIL	HSIL lesion of the cervix uteri, vagina or vulva	Diseases of the genitourinary system (N14_)	0.0124842	-0.0782654	0.114492	0.10731	0.114693	5197	185682
L12_URTICARIA	Urticaria	Diseases of the skin and subcutaneous tissue (L12_)	0.0125115	0.0593656	0.114829	0.120983	0.114661	9008	331270
CHOLELITH_BROAD	Cholelithiasis, broad definition with cholecystitis	Diseases of the digestive system (K11_)	0.0125658	0.0324967	0.114791	0.117267	0.114507	34461	301383
M13_POLYARTHROPATHIES	Polyarthropathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.01262	0.0355603	0.115084	0.118493	0.114646	28418	221323
C3_COLORECTAL_EXALLC	Colorectal cancer	Neoplasms, from cancer register (ICD-O-3)	0.0127388	-0.0766123	0.115431	0.109766	0.11555	5458	259583
E4_DM1REN	Type 1 diabetes with renal complications	Endocrine, nutritional and metabolic diseases (E4_)	0.0128576	0.146545	0.114409	0.129605	0.114332	1441	283224
H7_RETINOPATHYDIAB_BKG_SEVERE	Severe diabetic background retinopathy	Diseases of the eye and adnexa (H7_)	0.0132014	0.199938	0.114626	0.135607	0.114575	759	314042
D3_NEFELOF	Nezelof syndrome	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.013281	0.423334	0.114702	0.173964	0.114682	115	337121
L12_URTICA_ALLERG	Allergic urticaria	Diseases of the skin and subcutaneous tissue (L12_)	0.0133193	0.11983	0.114744	0.127699	0.114661	2112	331270
H7_RETINOPATHYDIAB_PROLIF	Proliferative diabetic retinopathy	Diseases of the eye and adnexa (H7_)	0.0135569	0.117065	0.114659	0.126606	0.114575	2222	314042
F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders	Mental and behavioural disorders (F5_)	0.0136751	-0.0885191	0.114957	0.106159	0.115147	7137	330132
L12_DERMATITISECZEMA	Dermatitis and eczema	Diseases of the skin and subcutaneous tissue (L12_)	0.0140725	-0.0307189	0.114848	0.111804	0.115201	35590	306909
M13_MONOARTHRITIS	Monoarthritis, not elsewhere classified	Diseases of the musculoskeletal system and connective tissue (M13_)	0.0141765	0.160562	0.114733	0.13128	0.114646	1160	221323
SYSTSCLE_STRICT	Systemic sclerosis,strict definition	Rheuma endpoints	0.0144119	0.355411	0.114847	0.157164	0.114825	176	341966
AB1_OTHER_VIRAL	Other viral diseases	Certain infectious and parasitic diseases (AB1_)	0.0145704	0.0588085	0.114848	0.121138	0.114683	8784	333715
CHILDHOOD_ALLERGY	Childhood allergy (age < 16)	Asthma and related endpoints	0.0146811	-0.0849692	0.114848	0.110009	0.114917	4769	337730
L12_GRANULOMATOUSSKIN	Granulomatous disorders of skin and subcutaneous tissue	Diseases of the skin and subcutaneous tissue (L12_)	0.0152662	0.22012	0.114806	0.136945	0.114764	602	321903
H7_RETINALDISOTH	Other retinal disorders	Diseases of the eye and adnexa (H7_)	0.0156135	0.0396152	0.114787	0.118054	0.114575	20392	314042
TBC_RESP	Respiratory tuberculosis	Certain infectious and parasitic diseases (AB1_)	0.015704	-0.134243	0.114864	0.100776	0.114932	1625	340362
H7_MODVISIMPMONOC	Moderate visual impairment, monocular	Diseases of the eye and adnexa (H7_)	0.0158497	0.455781	0.114907	0.179775	0.114889	89	327640
N14_LUMPNASBREAST	Unspecified lump in breast	Diseases of the genitourinary system (N14_)	0.0166215	-0.0834829	0.114481	0.106726	0.114665	4179	176011
CD2_BENIGN_UTERUS_OTH	Other benign neoplasms of uterus	Neoplasms from hospital discharges (CD2_)	0.0168252	-0.146786	0.114492	0.101661	0.114583	1339	189540
INCREASEDMUSCLETONE	Increased muscle tone	Miscellaneous, not yet classified endpoints	0.0172747	-0.425445	0.114848	0.0705128	0.114869	156	342343
H7_ORBITINFLAMACU	Acute inflammation of orbit	Diseases of the eye and adnexa (H7_)	0.0173301	0.435667	0.114915	0.158784	0.114895	148	314292
DRUGADVERS_HEADA_NOT_ELSEW_CLASSIFIED	Drug-induced headache, not elsewhere classified	Diseases of the nervous system (G6_)	0.0174313	0.485247	0.114848	0.16232	0.114832	120	342379
I9_SAH	Subarachnoid haemmorrhage	Diseases of the circulatory system (I9_)	0.0178115	0.111675	0.114776	0.124876	0.114702	2272	310098
K11_CHOLECYST	Cholecystitis	Diseases of the digestive system (K11_)	0.0179639	0.0869301	0.114607	0.122573	0.114507	3770	301383
F5_MOODOTH	Other and unspecified mood [affective] disorders	Mental and behavioural disorders (F5_)	0.0179738	-0.12169	0.114958	0.101062	0.115049	1972	299886
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	0.0180003	-0.0837897	0.114963	0.106952	0.115132	4106	193857
M13_FINGERDEFORM	Deformity of finger(s)	Diseases of the musculoskeletal system and connective tissue (M13_)	0.0184459	-0.432127	0.114619	0.0727248	0.114646	145	221323
E4_DMNASNEU	Unspecified diabetes with neurological complications	Endocrine, nutritional and metabolic diseases (E4_)	0.0184472	0.542039	0.11435	0.169566	0.114332	94	283224
JUVEN_ARTHR	Juvenile arthritis (FINNGEN)	Rheuma endpoints	0.0185072	0.143371	0.114149	0.129096	0.114072	1348	261098
E4_DM1PERIPH	Type 1 diabetes with peripheral circulatory complications	Endocrine, nutritional and metabolic diseases (E4_)	0.0187452	0.215414	0.114377	0.136036	0.114332	597	283224
L12_PSORI_GUTTATE	Guttate psoriasis	Diseases of the skin and subcutaneous tissue (L12_)	0.0189557	-0.300635	0.114785	0.0847712	0.114812	300	330975
D3_IMMUDEF	Immunodeficiencies	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.0190669	0.14989	0.114848	0.130675	0.114792	1209	341290
N14_GLOMEINOTH	Glomerular disorders in diseases classified elsewhere	Diseases of the genitourinary system (N14_)	0.0193522	0.0950894	0.1148	0.125333	0.114706	3008	337446
H7_CONJUNCTIVITIS	Conjunctivitis	Diseases of the eye and adnexa (H7_)	0.0195097	-0.0341234	0.114832	0.1122	0.115044	25326	314307
CD2_BENIGN_SCROTUM	Benign neoplasm: Scrotum	Neoplasms from hospital discharges (CD2_)	0.0197006	0.565595	0.115297	0.175171	0.115265	83	151537
N14_PREMENSTSYNDROM	Premenstrual syndrome	Diseases of the genitourinary system (N14_)	0.0199866	0.368405	0.114927	0.15166	0.114854	199	100663
N14_CERVICAL_HSIL	HSIL lesion of the cervix uteri	Diseases of the genitourinary system (N14_)	0.0200032	-0.076369	0.114492	0.107563	0.114668	4725	186154
H8_POSTMASTCHOLEASTOMA	Recurrent cholesteatoma of postmastoidectomy cavity	Diseases of the ear and mastoid process (H8_)	0.0203254	0.451636	0.114952	0.175709	0.114935	85	302750
G6_SPINOTH	Other diseases of spinal cord	Diseases of the nervous system (G6_)	0.0213304	0.193397	0.114755	0.132982	0.114715	709	318912
F5_ADHD	Disturbance of activity and attention	Mental and behavioural disorders (F5_)	0.0216152	-0.121272	0.114742	0.104515	0.114797	1818	337243
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri	Neoplasms, from cancer register (ICD-O-3)	0.0216686	-0.0954641	0.11477	0.105621	0.114948	2913	149394
L12_ROSACEANAS	Other and unspecified rosacea	Diseases of the skin and subcutaneous tissue (L12_)	0.021679	0.118409	0.114804	0.125957	0.114741	1883	328747
D3_SARCOIDOSIS	Sarcoidosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.0219003	0.085568	0.114772	0.123239	0.114682	3597	337121
DM_NEPHROPATHY_EXMORE	Diabetic nephropathy	Diabetes endpoints	0.0222091	0.0853007	0.114461	0.123087	0.114349	3676	283456
L12_URTICA_NAS	Other and unspecified urticaria	Diseases of the skin and subcutaneous tissue (L12_)	0.0223491	0.068062	0.114784	0.121956	0.114661	5662	331270
M13_MUSCONTRAC	Contracture of muscle	Diseases of the musculoskeletal system and connective tissue (M13_)	0.0223748	-0.534722	0.114869	0.0611111	0.114888	90	253122
M13_RHEUMA	Rheumatoid arthritis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.0224761	0.0500485	0.114896	0.119842	0.114646	11178	221323
KRA_PSY_MOTOR_EXMORE	Motor disorders	Psychiatric endpoints from Katri Räikkönen	0.0232766	-0.2787	0.115122	0.10029	0.115144	378	254976
F5_SCHIZOAFF	Schizoaffective disorder	Mental and behavioural disorders (F5_)	0.0233394	-0.13295	0.115057	0.103622	0.115147	2615	330132
M13_TIBIALCOLLATERAL	Tibial collateral bursitis [Pellegrini-Stieda]	Diseases of the musculoskeletal system and connective tissue (M13_)	0.0235359	-0.330775	0.114997	0.080552	0.115029	233	248831
K11_EMBED_TEETH_INCLAVO	Embedded teeth, including avohilmo	Diseases of the digestive system (K11_)	0.0251878	-0.10923	0.114848	0.103747	0.114917	2115	340384
H7_COULOURVISDEF	Colour vision deficiencies	Diseases of the eye and adnexa (H7_)	0.025391	0.489227	0.114905	0.166667	0.114889	102	327640
H7_OPTNEURITIS	Optic neuritis	Diseases of the eye and adnexa (H7_)	0.0255588	0.151586	0.114851	0.130656	0.114801	1072	340155
L12_CHRONICULCEROFSKIN	Chronic ulcer of skin, not elsewhere classified	Diseases of the skin and subcutaneous tissue (L12_)	0.0256029	0.125496	0.114824	0.127067	0.114764	1578	321903
D3_ANAEMIANAS	Other and unspecified anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.0256047	0.0469841	0.114831	0.119612	0.11466	11801	329526
D3_COAGDEF	Chronic Coagulation defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.0256106	-0.210098	0.114848	0.0936511	0.114883	559	341940
E4_GOITREMULTINOD	Nontoxic multinodular goitre	Endocrine, nutritional and metabolic diseases (E4_)	0.025768	0.0693515	0.113656	0.118795	0.113559	5498	292316
C3_SMALL_INTESTINE_EXALLC	Malignant neoplasm of small intestine	Neoplasms, from cancer register (ICD-O-3)	0.0266833	-0.230444	0.115509	0.0924628	0.11555	455	259583
